RegionName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20
10025,222928,221540,221615,221591,222098,222714,222605,223386,223725,225279,226472,227968,229367,232133,233699,234586,235384,236223,238741,239258,240831,240502,242415,244918,248215,251370,255381,260021,263695,267567,270036,274814,279408,285670,289292,291878,294556,297302,300210,302296,306392,311325,319141,326635,335054,342359,350434,358430,364686,371773,378882,388547,397282,405458,413323,420019,426384,432246,440519,449383,460082,469953,480364,488072,493782,498105,501527,505834,510616,517134,522188,527777,531860,536591,540207,545564,550517,554306,555626,558023,562373,567675,573829,579128,585081,590940,597067,603858,615465,633216,653745,670393,678660,683167,686486,692996,698635,704830,709091,716529,720929,724882,730398,740747,760718,777018,790754,795971,805231,815445,837049,853933,869488,879339,888904,902512,912678,934420,954511,974634,995275,1012290,1017531,1010551,1010880,1021687,1027755,1020072,1000870,980071,968822,975573,974666,975680,966784,968033,967766,962354,965229,961426,965526,965060,966341,963076,963536,959984,963685,968517,964014,954758,941541,950805,965440,979602,981152,974016,963552,953153,947762,944457,946894,945115,931863,910154,885947,867586,859299,851757,846900,843422,841781,842610,841355,845392,857557,868293,878017,884832,886659,891079,894141,901355,904545,900568,897936,896366,898185,899284,899989,897847,899524,899968,903364,901052,899941,902073,906221,910386,911583,913704,918154,926001,930400,934503,937988,945101,950897,957198,963233,969593,977084,985912,993747,1002175,1011636,1024656,1038979,1053636,1070333,1085441,1099894,1111616,1121891,1131903,1142115,1150039,1157099,1161336,1164759,1168322,1171624,1176906,1180866,1188576,1195745,1204697,1210686,1219687,1229567,1237344,1245693,1249394,1258649,1262344,1268114,1267841,1271244,1270707,1272325,1271422,1271854,1274615,1270651,1264314,1246526,1234574,1225673,1221459,1220403,1218430,1220819,1211763,1197094,1182627,1170579,1179756,1189001,1208948,1215064,1228330,1234470,1251962,1257375,1264129,1259056,1249652,1258256,1260535,1272513,1263691,1259828,1247957,1237765,1217910,1202019,1187806,1181753,1175189,1152836,1122702,1085142
10023,249810,249862,250000,250890,252185,253246,253598,253703,254102,254857,255869,256911,258307,260289,262721,264486,265992,267892,270747,273717,276640,279362,282354,285773,288966,291227,292845,294278,295786,298044,300813,304223,306670,309220,311147,313168,314680,316796,319464,322836,325822,327650,329743,332559,337644,341909,345660,347691,350897,354813,359096,363772,369594,377103,384045,390418,394863,400247,406057,413628,420535,427877,435133,441036,445350,448338,452586,456139,460761,465053,470649,475841,481279,486043,490859,496108,500978,503795,506534,509849,514828,519176,523531,528096,532809,537839,542615,548118,556239,569643,579443,587884,591310,596896,602273,606938,610620,615012,618678,626345,630591,634759,641873,652974,668923,680154,687059,692174,700439,709867,724348,733583,745663,755521,766063,775529,783372,799202,817165,831540,846751,856207,864046,863410,867696,874293,878668,877015,867291,853953,844361,847817,846477,846762,841790,846248,851814,850123,851694,847653,849400,848537,847785,846976,848974,856229,859492,861482,850116,849910,852293,873005,897664,926309,950130,965958,973585,971517,974864,979733,990662,985839,966612,938361,912679,891608,881753,869295,862155,854049,850951,850036,850721,857889,876154,891002,901816,904555,900921,901964,907116,919356,928141,929763,929808,930825,929089,932421,934804,941508,947335,952443,952554,952525,951567,956467,962202,967372,971259,970549,972919,976833,980436,984855,990699,997007,1003466,1009520,1015336,1021154,1028902,1042197,1055081,1064118,1074022,1086005,1102263,1114783,1128190,1137349,1151107,1162732,1173609,1180911,1188882,1199412,1206295,1208288,1207682,1212337,1215688,1220886,1222155,1229685,1237874,1248766,1256151,1261906,1269087,1277713,1286428,1291509,1297290,1302750,1307254,1307442,1308385,1310336,1310963,1306532,1300604,1300048,1300166,1299551,1298869,1306722,1314845,1316646,1307093,1286228,1275033,1272414,1279628,1283765,1288400,1294281,1289596,1282490,1271326,1266091,1265955,1280948,1302565,1312639,1299790,1264517,1229639,1205199,1206812,1205811,1207994,1202909,1200070,1192096,1176335,1166441,1168883,1188089,1207863,1221435,1221711
11226,175147,174269,173237,171934,171327,171590,171805,171948,172147,172411,172447,172365,172781,174322,176595,178459,179477,179684,180206,180996,181720,182378,183586,185817,188320,189403,190437,191001,192189,192824,193245,193784,194901,196537,198138,198334,196902,196064,195045,195302,195199,196382,198470,200881,202919,204703,206561,209063,212006,214957,217615,219617,221617,223537,225303,226526,227750,228683,230180,232413,235574,237874,239993,241908,244557,247003,249583,252082,254827,258270,260854,262459,263250,265652,268148,270589,271151,271829,272105,273772,275340,277039,278729,281053,283304,285209,288015,291997,297135,301740,303389,303540,301918,300593,299851,299600,301658,304056,306339,305801,306539,306619,310879,313813,320961,327213,335181,341029,344703,348273,354828,364241,371110,376774,384626,394778,406027,414054,419900,425742,431020,437122,435288,437007,440504,451387,456218,459636,457174,460492,461768,466818,471435,474843,482190,485899,491209,490816,492165,494737,494677,493668,493620,493735,495654,495724,497155,494194,489154,484225,479954,476507,475162,472404,470579,466629,459448,450342,442629,439094,434913,429749,423831,418986,415991,413323,411398,408107,408875,413768,412182,409069,406890,410383,415180,415541,416057,415633,414120,412964,410480,407633,409679,410032,409883,405635,402226,401633,401288,401884,402477,404064,404977,405643,407800,413249,418449,421633,422956,424647,424599,425672,428141,430973,434620,436041,436384,434028,432960,434041,435739,437666,441324,444777,447306,450726,452869,457503,459538,464547,469200,474204,480440,485651,491027,494604,497067,500081,506646,514255,521542,527770,534929,543463,549018,553966,558918,565834,574640,579197,580915,581367,583981,587618,589030,590147,590789,592728,593490,594764,597500,603253,608365,611629,618068,623312,627622,630847,638326,649216,660056,666352,667342,666968,665182,662715,655855,652000,653423,657212,662305,664775,663281,667283,673149,678501,682210,687613,693300,694402,690655,687929,681646,675052,671506,665312,659269,652836,647812,641431,635159
10467,66967,66581,66434,65913,65755,65568,65617,65416,65315,65382,65532,65695,65716,66139,66467,67053,66984,67010,66863,67292,67806,67988,68131,68309,68871,69072,69131,69153,69587,70063,70319,70402,70180,70259,70350,70549,70747,70911,71308,71537,71934,72405,73275,73948,74827,75721,76640,77473,77771,78550,79274,80533,81467,82436,82990,83652,84372,85157,86076,86640,87472,87642,88129,88391,89040,89724,90493,91150,91536,91798,92056,92841,93705,94819,95499,96130,96826,98102,99410,100478,101109,101898,102800,103505,104222,104756,105372,105724,105928,104786,104394,104498,105708,106063,106034,106506,107385,108646,110150,111978,114131,116428,117498,118395,119187,121345,124040,125834,127297,128924,130544,132444,133232,135135,137378,139786,142042,144185,145770,147893,149555,151296,152546,153414,154785,155766,157617,159855,162187,163303,164617,165714,167050,167671,169353,171523,173733,174567,174440,173955,173409,173076,172728,172379,172346,172201,170926,169057,167628,168121,168675,168294,166780,164952,163104,160486,157801,154433,151203,148616,146791,144799,141784,139260,136988,136533,135749,136400,135950,135903,134957,134265,132941,130638,128934,127610,127636,126535,126109,123874,123048,122416,123755,122816,121159,120343,121327,121978,121466,120386,118441,117893,117311,118669,118811,120233,120672,120793,119605,119122,118876,119117,120260,121603,122103,120296,119124,118893,120767,122269,123606,123978,124787,125921,126870,126538,126606,127477,128780,129048,128491,127695,127296,128022,128548,129157,128940,129601,131419,133004,133648,134110,134989,136856,138779,139308,139347,138587,139256,140258,139405,138604,137712,138873,139624,140209,140151,140408,141437,143362,144961,145755,146844,148560,150537,151108,151567,152989,155014,158102,160892,163101,163674,165160,167446,168912,170722,172520,175114,175779,175809,175497,174311,173171,174440,175452,177069,178396,180630,183169,185137,187413,189887,191807,194173,196371,197219,197708,196971,196509,194747
10016,185006,184377,183883,183123,182677,182424,181970,181531,181230,181176,181340,181685,182549,183964,185884,187712,189383,190833,192476,194013,195604,197255,199313,201328,203067,204157,204582,204812,205127,206209,207820,210208,212584,215036,216918,219005,220850,222705,224664,226813,229592,232068,235467,239002,242974,246204,248691,250754,252462,255224,258650,262900,266961,271239,275059,278235,281393,285004,290373,296844,304075,310519,315983,320542,324438,327489,329893,332762,336002,340018,343470,346066,349080,352523,356856,360973,364527,367130,368931,370921,373812,377064,380828,385010,388822,392515,395598,399883,406465,417049,428502,438268,444247,448912,452917,456541,458986,462543,466850,472912,477006,479703,484421,492607,505596,515437,523026,528889,537424,545833,557633,567684,578303,588554,598261,608639,616636,631349,645873,657821,671342,681949,688104,684778,685835,690757,692933,689057,678737,669257,663602,669021,667142,663562,654762,653467,654824,651085,651750,649732,652040,654750,657686,659978,661401,668448,679121,691355,689686,687729,683201,687157,695371,694531,692041,681912,678672,671892,667020,661370,660788,657310,647763,634594,620600,612460,608381,605173,602035,598680,595332,593773,592322,593848,600773,607914,614187,619198,621036,624096,626260,630799,635348,636240,638223,640638,643075,645343,646059,645671,645554,645521,644961,642255,639468,638620,639032,638823,637431,637421,640222,645788,649748,653459,656446,660406,663102,666848,669604,673605,678926,684591,688298,691688,696455,703203,711386,719212,728207,735130,744384,753253,761394,768211,776098,782555,787165,789510,792388,797287,801576,806654,808395,811036,813077,817355,819771,823407,828829,833921,836882,837982,840346,842916,844794,843850,842325,841417,840793,840810,839038,841434,843100,842582,839470,837340,837995,842824,849166,850440,851078,846561,842991,835263,833766,837902,841445,843034,838755,835486,830011,832239,835734,840298,843167,842411,834287,825736,820737,820902,820832,817377,814834,808499,801271,795024,789630,787577,787812,785865,781665
11201,170943,169665,168970,168592,168969,169479,169706,170368,170902,171989,173309,175372,177829,180793,183606,184453,184709,184723,185881,185954,187784,188404,189520,189590,188939,189001,189936,192680,196029,199788,202399,206123,207646,211402,215003,218822,223565,228791,233749,237574,239427,242545,247171,252881,258554,261336,262633,265359,268630,272113,274766,277818,281894,285714,289480,292319,297458,306388,315752,324399,330340,336902,343627,351143,359022,365405,370853,376611,382286,386057,391609,397534,406006,412401,417356,420890,421987,423369,425048,430141,435424,441261,445116,448041,450091,454214,462209,472208,483503,495112,503770,506599,502454,497958,495464,496854,504581,511013,515331,514580,518696,521890,529279,535033,550615,562563,578131,588786,593424,596415,601567,608894,612155,614336,621105,629626,639486,652108,659740,666658,668168,674185,672191,679633,686913,702243,708759,716156,712175,710362,705926,707255,710733,710894,716474,714761,715716,709906,707627,707820,709776,710494,711154,709101,709666,710523,714173,716914,715755,715715,713193,710027,709295,709146,712129,714480,717475,717008,716503,712345,709607,701307,693314,687138,679437,672145,662648,657375,652366,654120,649419,647896,646140,650855,657684,659498,662235,661912,663198,659605,656945,650471,648685,644191,640089,636438,634856,636198,638022,642415,645239,649535,649450,649166,648694,653402,658445,661161,662477,664458,666170,667949,672970,679598,688495,696707,703437,707181,713821,723863,733221,739456,749117,758586,768464,775884,786524,801301,816329,830632,841519,850321,859529,872229,881682,892247,896906,903500,909255,915887,925995,938703,948506,954592,958716,964531,971750,975332,981521,984376,984754,985859,990077,993132,992532,991387,994053,994384,991195,984666,982484,985133,990637,980821,960961,943006,940502,943381,938306,934015,935581,948402,953648,954233,948063,954317,961618,966193,963705,961059,970581,980234,988196,991144,998200,1006621,1014694,1018421,1018505,1018667,1015916,1016254,1009855,1003291,995830,987644,979057,970566,964629,958113,954691
11235,101171,100972,100791,100781,101047,101336,101769,102275,102900,103198,103412,103780,104259,105025,105512,105938,105976,106415,106622,106658,106586,106862,107481,107854,108349,108629,110183,111257,112500,112933,113257,113940,114751,116307,117778,119366,120447,121723,121952,122403,122805,123901,125914,127777,129467,130132,130446,131171,132301,133560,134976,136771,138863,140944,142362,143215,144188,145644,147674,149162,150667,152232,154077,155793,157389,159124,160634,162523,164059,165749,167432,169539,171872,174263,176219,177706,178236,179815,181125,183314,184187,185452,186303,187567,188564,189743,191666,194520,198199,198878,199886,199977,202891,205128,207793,209751,213424,216903,220285,221528,223786,226813,230875,233882,238020,241410,246466,251149,253421,255515,258774,263887,267611,270224,273946,278587,284059,289815,292929,295238,296967,299764,298215,299631,300829,307148,309431,311957,309409,307651,304902,304009,303770,302441,303703,301871,301412,297923,296365,295154,292797,290792,289675,289004,288724,288446,289067,288028,285580,283514,281736,279878,279918,279772,278736,276364,272758,269396,266151,264335,263410,261194,258407,256338,254681,253409,254255,256431,260458,264286,264878,265114,265250,268765,272774,274625,276020,276279,275808,273764,271442,269476,271898,274440,277564,276832,276315,276159,276574,276821,276644,277702,278444,278726,277009,275772,273195,272632,271898,272572,272299,272678,274653,276459,278128,278970,279128,279313,280146,281619,282589,284095,286841,289825,290749,291030,291747,294042,296724,298308,299473,300118,301342,302341,302921,304093,304725,305779,307419,309588,312330,314784,318358,321107,324172,325501,326765,327329,329187,331288,330389,327941,326051,327389,328678,329531,329748,331002,331994,332132,332760,333459,336062,339235,341049,341720,341677,343558,345842,348198,353045,358969,363958,366714,369798,374321,378923,382210,384350,384884,384819,386737,386968,387065,385354,386657,388955,391025,390891,390171,389796,391498,393361,393272,393036,392445,393474,393284,391737,389438,388849
11375,118144,117500,117167,116500,116232,115963,115954,115891,116062,116256,116563,116860,117276,118314,119432,120504,121117,121825,122434,123182,123664,124097,124611,125395,126382,126851,127179,127270,127549,128078,128524,129326,130337,131917,133440,134754,135499,136218,136874,138348,140135,141859,143559,144916,146257,146931,147480,148267,149584,151455,153487,155060,156185,157357,158935,160686,162705,165120,167703,169700,171265,172538,174042,175606,177442,179001,180570,182187,183231,184001,184596,185819,187291,188786,190261,191630,192870,194437,196831,199313,201460,202577,203392,204401,205422,206565,207374,208156,208826,209171,207083,204863,203829,205136,207008,207822,209134,210044,211358,212322,213737,216233,219524,222660,224995,227494,231082,234940,238268,241472,244586,249258,253008,256201,259820,263537,267524,271616,275667,280528,283708,286285,287253,287640,288827,290747,292301,294028,295702,293063,287855,282124,280010,280360,283495,284565,285485,283006,282139,281231,280731,282195,283619,285054,285223,283875,281105,278865,276766,275540,273667,271592,269215,267375,265465,263611,260677,258108,256052,255059,254054,253653,252735,251468,249909,248498,249271,250988,253039,254468,253662,252944,251706,252751,253289,254502,255335,256813,256527,255245,254338,253920,256154,257258,258989,257608,257415,257685,259169,259524,259503,259655,260019,260224,259435,259298,259423,261183,262350,262565,262323,262519,264014,265673,266721,268013,269090,270565,272226,274034,276522,278825,281075,283550,285444,287392,289806,292728,295879,298828,300688,301022,301131,302131,304342,305707,307785,309570,312272,314513,317101,318938,320752,324384,327311,330265,331114,332721,333691,335285,335424,336413,336803,339248,342371,345464,348410,349851,352832,355694,359391,361752,364488,364842,366433,366473,366951,366572,367387,371476,374535,377446,379247,381195,383235,385383,387571,389893,391858,395745,402040,406069,410619,411308,412967,411704,412841,413102,415293,416028,418214,417850,414906,412169,409151,408923,408087,409276,408179,407689,405080
10009,201467,200580,200232,199727,200072,199908,199458,198750,198804,199074,200233,201676,204459,207549,210906,213285,214809,216732,218978,222072,224097,225621,225377,225556,225465,225562,224662,224297,224687,227149,229846,232148,234136,237409,242320,247789,251441,255795,260347,264779,267601,268089,269860,271818,275887,278482,279639,275643,269100,260904,254966,251166,250294,250209,251680,253550,254283,253644,252815,256421,263648,272340,280554,288421,294696,301028,304708,309034,313377,320898,330559,339417,346806,352692,358226,362964,366336,368464,370484,373443,377219,380889,383243,384296,386564,389415,392962,396113,402921,413267,423276,428381,432144,433748,437414,441456,444472,448467,450842,456196,458693,460044,463875,471584,482400,491585,498207,504076,511700,519797,532577,544047,554713,563405,571266,580297,586274,598436,609465,617867,627546,634636,638971,634923,638039,644928,651510,652778,650879,644976,640248,645901,645565,647128,640775,646096,648218,646409,643735,640279,639952,642765,646793,650832,654564,658256,663603,659921,653091,647389,643127,644949,651365,655238,660177,654004,649568,639506,634577,634064,632751,627402,619665,608409,595189,580539,567376,555258,548431,545327,545735,544794,543606,546043,550720,555570,556919,558831,559700,562740,562829,563184,562119,562528,565361,567057,566946,567231,571282,575870,581533,586352,588940,591278,590671,590646,588869,587159,585877,586430,586049,588042,585271,587380,590952,596007,598870,601247,606114,613675,623515,631387,639638,643813,651034,655193,660916,665105,673312,681094,689690,694441,694557,695270,695921,699721,700363,704667,711475,722538,729393,734789,736645,741809,750108,757892,764139,768706,778410,780506,776410,767107,765480,767251,768852,767037,763410,761937,762235,765519,765960,766323,767357,772810,776424,774925,767647,761443,760644,759390,755215,748030,744341,749236,758838,762019,755859,744017,741059,743445,747666,746934,752743,759361,767720,764218,754668,752434,765914,790373,809663,819986,826533,836678,841793,846708,848366,855185,863887,867680,862011
10011,201269,201873,202965,205152,207200,208916,209712,210516,211624,212961,214497,215441,216981,219342,221684,222515,222580,222456,224064,226883,230402,233880,237054,240556,243829,245538,246646,249717,255041,261806,267525,270684,271674,272883,274963,279078,282408,287021,291628,295870,299397,303174,308744,315747,323286,329246,333528,335854,338228,341950,347227,352710,358299,363335,368080,371401,375102,379111,385031,391809,399891,407076,412739,417933,422565,426464,429857,434512,440985,448973,456982,463543,469397,474491,479774,484321,488184,491066,493380,496621,502801,508816,514085,518310,522450,526623,529767,534369,541041,552914,564713,570632,564823,557040,553413,556276,558448,561863,567285,576597,584290,588560,593615,606241,626493,644970,655055,659728,668128,678493,693045,701580,711107,721748,734412,745125,753378,768598,786580,801748,817313,827624,832396,828698,828137,831530,831029,826567,818995,810267,805212,809760,806262,804376,796723,800949,803545,799934,800386,799337,804493,807631,808314,804378,801914,800948,803111,802199,797262,793478,789049,790706,792908,795993,801916,809931,817097,818347,819046,820981,824468,823140,813568,799857,785140,771594,762547,750807,745464,741725,742191,742489,741874,745168,755899,766208,775932,782171,783884,786165,788174,794855,801238,805178,810054,815445,818703,823924,829116,835150,841462,846408,846423,842134,834755,831735,832146,835049,838705,842956,848330,858035,862265,867647,875592,887865,902549,915312,926017,932121,939691,947076,954509,957126,966033,977401,990809,1001317,1013202,1023724,1035773,1049804,1060299,1071673,1080902,1094122,1100874,1107212,1116673,1130565,1139603,1144599,1146746,1152383,1160502,1168293,1175477,1180756,1192025,1199557,1198522,1191439,1187185,1190023,1191420,1191619,1189369,1188699,1185124,1181638,1176030,1173740,1171342,1169404,1165032,1162034,1160213,1158717,1154780,1147849,1147715,1142764,1131649,1119793,1117048,1125482,1135165,1142297,1134750,1124090,1117421,1125020,1132092,1145374,1161057,1166759,1166921,1148114,1130522,1105485,1099927,1096253,1090956,1076895,1061560,1044779,1029944,1022257,1015501,1016949,1018040
